id	season	week	season_type	start_date	neutral_site	conference_game	attendance	venue_id	venue	home_team	home_conference	home_points	home_line_scores[0]	home_line_scores[1]	home_line_scores[2]	home_line_scores[3]	away_team	away_conference	away_points	away_line_scores[0]	away_line_scores[1]	away_line_scores[2]	away_line_scores[3]
401110723	2019	1	regular	2019-08-24T23:00:00.000Z	TRUE	FALSE		4013	Camping World Stadium	Florida	SEC	24	7	0	10	7	Miami	ACC	20	3	10	0	7
401114164	2019	1	regular	2019-08-25T02:30:00.000Z	FALSE	FALSE		3610	Aloha Stadium	Hawai'i	Mountain West	45	14	14	7	10	Arizona	Pac-12	38	0	21	14	3
401117854	2019	1	regular	2019-08-29T23:00:00.000Z	FALSE	FALSE		3854	Nippert Stadium	Cincinnati	American Athletic	24	7	3	7	7	UCLA	Pac-12	14	0	7	7	0
401119254	2019	1	regular	2019-08-29T23:00:00.000Z	FALSE	FALSE		3700	Doyt Perry Stadium	Bowling Green	Mid-American	46	13	17	7	9	Morgan State		3	0	3	0	0
401117855	2019	1	regular	2019-08-29T23:00:00.000Z	FALSE	FALSE		3892	Rentschler Field	Connecticut	American Athletic	24	7	3	14	0	Wagner		21	0	0	14	7
401119255	2019	1	regular	2019-08-29T23:00:00.000Z	FALSE	FALSE		3965	UB Stadium	Buffalo	Mid-American	38	21	7	10	0	Robert Morris		10	7	3	0	0
401114246	2019	1	regular	2019-08-29T23:30:00.000Z	FALSE	FALSE		3796	Houchens Industries-L. T. Smith Stadium	Western Kentucky	Conference USA	28	14	7	7	0	Central Arkansas		35	0	14	0	21
401117853	2019	1	regular	2019-08-29T23:30:00.000Z	FALSE	FALSE		3652	Bright House Networks Stadium	UCF	American Athletic	62	17	31	7	7	Florida A&M		0	0	0	0	0
401135910	2019	1	regular	2019-08-29T23:30:00.000Z	FALSE	FALSE		4418	Jerry Richardson Stadium	Charlotte	Conference USA	49	7	28	7	7	Gardner-Webb		28	0	14	7	7
401114236	2019	1	regular	2019-08-30T00:00:00.000Z	FALSE	FALSE		4729	Benson Field at Yulman Stadium	Tulane	American Athletic	42	7	21	14	0	Florida International	Conference USA	14	0	7	7	0
401111653	2019	1	regular	2019-08-30T00:00:00.000Z	FALSE	TRUE		3836	Memorial Stadium	Clemson	ACC	52	14	14	14	10	Georgia Tech	ACC	14	0	0	7	7
401114237	2019	1	regular	2019-08-30T00:00:00.000Z	FALSE	FALSE		3803	Legion Field	UAB	Conference USA	24	14	10	0	0	Alabama State		19	13	0	6	0
401110731	2019	1	regular	2019-08-30T00:30:00.000Z	FALSE	FALSE		3795	Kyle Field	Texas A&M	SEC	41	14	14	3	10	Texas State	Sun Belt	7	0	0	0	7
401119253	2019	1	regular	2019-08-30T00:50:00.000Z	FALSE	FALSE		3786	Kelly/Shorts Stadium	Central Michigan	Mid-American	38	7	17	7	7	Albany		21	0	7	7	7
401112229	2019	1	regular	2019-08-30T01:00:00.000Z	FALSE	FALSE		3953	TCF Bank Stadium	Minnesota	Big Ten	28	0	13	7	8	South Dakota State		21	0	7	14	0
401117493	2019	1	regular	2019-08-30T02:00:00.000Z	FALSE	FALSE		3935	Spartan Stadium	San José State	Mountain West	35	14	7	7	7	Northern Colorado		18	3	3	9	3
401114153	2019	1	regular	2019-08-30T02:00:00.000Z	FALSE	FALSE		3947	Sun Devil Stadium	Arizona State	Pac-12	30	10	0	17	3	Kent State	Mid-American	7	0	0	0	7
401114223	2019	1	regular	2019-08-30T02:15:00.000Z	FALSE	FALSE		3801	LaVell Edwards Stadium	BYU	FBS Independents	12	0	6	0	6	Utah	Pac-12	30	3	6	7	14
401114238	2019	1	regular	2019-08-30T22:00:00.000Z	FALSE	FALSE		3841	Blaik Field at Michie Stadium	Army	FBS Independents	14	0	7	0	7	Rice	Conference USA	7	0	7	0	0
401112212	2019	1	regular	2019-08-30T23:00:00.000Z	FALSE	FALSE		3936	Spartan Stadium	Michigan State	Big Ten	28	7	18	3	0	Tulsa	American Athletic	7	0	7	0	0
401112264	2019	1	regular	2019-08-30T23:15:00.000Z	FALSE	FALSE		3754	High Point Solutions Stadium	Rutgers	Big Ten	48	7	31	3	7	UMass	FBS Independents	21	21	0	0	0
401117856	2019	1	regular	2019-08-30T23:55:00.000Z	FALSE	FALSE		3886	Raymond James Stadium	South Florida	American Athletic	0	0	0	0	0	Wisconsin	Big Ten	49	7	21	14	7
401112430	2019	1	regular	2019-08-31T00:00:00.000Z	FALSE	FALSE		3630	BB&T Field	Wake Forest	ACC	38	10	7	14	7	Utah State	Mountain West	35	7	14	7	7
401112262	2019	1	regular	2019-08-31T01:30:00.000Z	FALSE	FALSE		3816	Mackay Stadium	Nevada	Mountain West	34	0	7	10	17	Purdue	Big Ten	31	10	14	7	0
401114184	2019	1	regular	2019-08-31T02:00:00.000Z	TRUE	FALSE		3937	Sports Authority Field at Mile High	Colorado	Pac-12	52	7	17	14	14	Colorado State	Mountain West	31	7	14	3	7
401112122	2019	1	regular	2019-08-31T02:30:00.000Z	FALSE	FALSE		3893	Reser Stadium	Oregon State	Pac-12	36	10	6	7	13	Oklahoma State	Big 12	52	7	24	14	7
401110726	2019	1	regular	2019-08-31T16:00:00.000Z	FALSE	FALSE		3805	Liberty Bowl Memorial Stadium	Memphis	American Athletic	15	7	6	0	2	Ole Miss	SEC	10	0	0	3	7
401112201	2019	1	regular	2019-08-31T16:00:00.000Z	FALSE	FALSE		3665	Maryland Stadium	Maryland	Big Ten	79	28	28	16	7	Howard		0	0	0	0	0
401112251	2019	1	regular	2019-08-31T16:00:00.000Z	FALSE	FALSE		3861	Ohio Stadium	Ohio State	Big Ten	45	28	0	7	10	Florida Atlantic	Conference USA	21	0	3	3	15
401112085	2019	1	regular	2019-08-31T16:00:00.000Z	FALSE	FALSE		3772	Jack Trice Stadium	Iowa State	Big 12	29	3	0	7	3	Northern Iowa		26	0	0	13	0
401112238	2019	1	regular	2019-08-31T16:00:00.000Z	FALSE	FALSE		3834	Memorial Stadium	Nebraska	Big Ten	35	7	7	14	7	South Alabama	Sun Belt	21	7	0	14	0
401112145	2019	1	regular	2019-08-31T16:00:00.000Z	FALSE	FALSE		3832	Memorial Stadium	Illinois	Big Ten	42	14	14	14	0	Akron	Mid-American	3	3	0	0	0
401112157	2019	1	regular	2019-08-31T16:00:00.000Z	TRUE	FALSE		3812	Lucas Oil Stadium	Ball State	Mid-American	24	3	7	7	7	Indiana	Big Ten	34	10	6	7	11
401112431	2019	1	regular	2019-08-31T16:00:00.000Z	FALSE	FALSE		3697	Bobby Bowden Field at Doak Campbell Stadium	Florida State	ACC	31	21	10	0	0	Boise State	Mountain West	36	6	13	7	10
401112432	2019	1	regular	2019-08-31T16:00:00.000Z	FALSE	FALSE		3670	Carter-Finley Stadium	NC State	ACC	34	7	10	7	10	East Carolina	American Athletic	6	3	0	0	3
401112096	2019	1	regular	2019-08-31T16:00:00.000Z	FALSE	FALSE		3833	Memorial Stadium	Kansas	Big 12	24	7	3	6	8	Indiana State		17	0	3	0	14
401110724	2019	1	regular	2019-08-31T16:00:00.000Z	FALSE	FALSE		3683	Commonwealth Stadium	Kentucky	SEC	38	0	14	10	14	Toledo	Mid-American	24	7	7	3	7
401110727	2019	1	regular	2019-08-31T16:00:00.000Z	TRUE	FALSE		3493	Mercedes-Benz Superdome	Louisiana	Sun Belt	28	7	7	0	14	Mississippi State	SEC	38	7	14	7	10
401112143	2019	1	regular	2019-08-31T18:00:00.000Z	FALSE	FALSE		3842	Mountaineer Field at Milan Puskar Stadium	West Virginia	Big 12	20	0	3	7	10	James Madison		13	7	0	3	3
401119259	2019	1	regular	2019-08-31T18:00:00.000Z	FALSE	FALSE		3876	Peden Stadium	Ohio	Mid-American	41	7	10	17	7	Rhode Island		20	0	6	7	7
401117859	2019	1	regular	2019-08-31T19:00:00.000Z	FALSE	FALSE		3806	Lincoln Financial Field	Temple	American Athletic	56	21	14	7	14	Bucknell		12	0	9	3	0
401114233	2019	1	regular	2019-08-31T19:00:00.000Z	FALSE	FALSE		3765	Husky Stadium	Washington	Pac-12	47	21	7	14	5	Eastern Washington		14	0	7	0	7
401110730	2019	1	regular	2019-08-31T19:30:00.000Z	FALSE	FALSE		3853	Neyland Stadium	Tennessee	SEC	30	14	3	3	10	Georgia State	Sun Belt	38	7	7	7	17
401110720	2019	1	regular	2019-08-31T19:30:00.000Z	TRUE	FALSE		5348	Mercedes-Benz Stadium	Alabama	SEC	42	0	14	21	7	Duke	ACC	3	0	3	0	0
401117494	2019	1	regular	2019-08-31T19:30:00.000Z	FALSE	FALSE		3713	Falcon Stadium	Air Force	Mountain West	48	7	28	13	0	Colgate		7	0	0	7	0
401112257	2019	1	regular	2019-08-31T19:30:00.000Z	FALSE	FALSE		3632	Beaver Stadium	Penn State	Big Ten	79	20	24	14	21	Idaho		7	0	0	0	7
401117857	2019	1	regular	2019-08-31T19:30:00.000Z	FALSE	FALSE		3852	Navy-Marine Corps Memorial Stadium	Navy	American Athletic	45	10	14	14	7	Holy Cross		7	0	7	0	0
401119256	2019	1	regular	2019-08-31T19:30:00.000Z	FALSE	FALSE		3654	Brooks Stadium	Coastal Carolina	Sun Belt	23	10	3	0	10	Eastern Michigan	Mid-American	30	0	7	16	7
401110729	2019	1	regular	2019-08-31T19:30:00.000Z	TRUE	FALSE		3628	Bank of America Stadium	North Carolina	ACC	24	3	3	3	15	South Carolina	SEC	20	10	3	7	0
401121934	2019	1	regular	2019-08-31T19:30:00.000Z	FALSE	FALSE		3792	Kidd Brewer Stadium	Appalachian State	Sun Belt	42	7	7	14	14	East Tennessee State		7	0	0	7	0
401112139	2019	1	regular	2019-08-31T20:00:00.000Z	FALSE	FALSE		3784	Jones AT&T Stadium	Texas Tech	Big 12	45	14	14	3	14	Montana State		10	0	7	0	3
401112245	2019	1	regular	2019-08-31T20:00:00.000Z	FALSE	FALSE		3940	Stanford Stadium	Stanford	Pac-12	17	0	10	0	7	Northwestern	Big Ten	7	0	0	0	7
401110721	2019	1	regular	2019-08-31T20:00:00.000Z	FALSE	FALSE		3887	Donald W. Reynolds Razorback Stadium Frank Broyles Field	Arkansas	SEC	20	10	0	7	3	Portland State		13	3	3	0	7
401112435	2019	1	regular	2019-08-31T20:00:00.000Z	FALSE	TRUE		3615	Alumni Stadium	Boston College	ACC	35	7	21	0	7	Virginia Tech	ACC	28	7	7	7	7
401117495	2019	1	regular	2019-08-31T22:00:00.000Z	FALSE	FALSE		3971	University Stadium	New Mexico	Mountain West	39	13	9	10	7	Sam Houston State		31	0	16	7	8
401112434	2019	1	regular	2019-08-31T22:00:00.000Z	FALSE	FALSE		3992	Williams Stadium	Liberty	FBS Independents	0	0	0	0	0	Syracuse	ACC	24	3	7	7	7
401121935	2019	1	regular	2019-08-31T22:00:00.000Z	FALSE	FALSE		3975	Veterans Memorial Stadium	Troy	Sun Belt	43	17	3	16	7	Campbell		14	7	0	0	7
401114245	2019	1	regular	2019-08-31T22:00:00.000Z	FALSE	FALSE		3604	Alamodome	UT San Antonio	Conference USA	35	7	14	7	7	Incarnate Word		7	0	7	0	0
401114174	2019	1	regular	2019-08-31T22:30:00.000Z	FALSE	FALSE		3831	California Memorial Stadium	California	Pac-12	27	0	13	7	7	UC Davis		13	10	0	3	0
401114240	2019	1	regular	2019-08-31T22:30:00.000Z	FALSE	FALSE		3775	Joan C. Edwards Stadium	Marshall	Conference USA	56	14	21	14	7	VMI		17	0	7	0	10
401112073	2019	1	regular	2019-08-31T23:00:00.000Z	FALSE	FALSE		4727	McLane Stadium	Baylor	Big 12	56	14	21	14	7	Stephen F. Austin		17	7	0	0	10
401117858	2019	1	regular	2019-08-31T23:00:00.000Z	FALSE	FALSE		3625	Centennial Bank Stadium	Arkansas State	Sun Belt	30	7	2	14	7	SMU	American Athletic	37	3	13	14	7
401119258	2019	1	regular	2019-08-31T23:00:00.000Z	FALSE	FALSE		3980	Waldo Stadium	Western Michigan	Mid-American	48	21	10	14	3	Monmouth		13	0	7	6	0
401119257	2019	1	regular	2019-08-31T23:00:00.000Z	FALSE	FALSE		3764	Brigham Field at Huskie Stadium	Northern Illinois	Mid-American	24	3	0	7	14	Illinois State		10	0	3	0	7
401112106	2019	1	regular	2019-08-31T23:00:00.000Z	FALSE	FALSE		3636	Bill Snyder Family Football Stadium	Kansas State	Big 12	49	14	14	0	21	Nicholls		14	0	0	7	7
401114243	2019	1	regular	2019-08-31T23:00:00.000Z	FALSE	FALSE		3815	M. M. Roberts Stadium	Southern Mississippi	Conference USA	38	10	3	15	10	Alcorn State		10	0	0	10	0
401114242	2019	1	regular	2019-08-31T23:00:00.000Z	FALSE	FALSE		3918	Foreman Field	Old Dominion	Conference USA	24	14	0	3	7	Norfolk State		21	0	6	0	15
401112433	2019	1	regular	2019-08-31T23:30:00.000Z	FALSE	TRUE		3752	Heinz Field	Pittsburgh	ACC	14	0	14	0	0	Virginia	ACC	30	10	3	10	7
401110725	2019	1	regular	2019-08-31T23:30:00.000Z	FALSE	FALSE		3958	Tiger Stadium	LSU	SEC	55	21	21	10	3	Georgia Southern	Sun Belt	3	0	3	0	0
401112222	2019	1	regular	2019-08-31T23:30:00.000Z	FALSE	FALSE		3558	Michigan Stadium	Michigan	Big Ten	40	10	17	6	7	Middle Tennessee	Conference USA	21	7	7	0	7
401110722	2019	1	regular	2019-08-31T23:30:00.000Z	TRUE	FALSE		3687	AT&T Stadium	Auburn	SEC	27	3	3	7	14	Oregon	Pac-12	21	14	0	7	0
